GEOID,GEOIDFQ,NAMELSAD,pct_in_circle
17031670900,1400000US17031670900,Census Tract 6709,0.20289650187353606
17031671100,1400000US17031671100,Census Tract 6711,80.6380173597501
17031671200,1400000US17031671200,Census Tract 6712,40.77707886477275
17031671300,1400000US17031671300,Census Tract 6713,28.617597577451892
17031671500,1400000US17031671500,Census Tract 6715,76.12767798484103
17031671600,1400000US17031671600,Census Tract 6716,99.99999999999999
17031671800,1400000US17031671800,Census Tract 6718,100.00000000000003
17031671900,1400000US17031671900,Census Tract 6719,100.00000000000003
17031672000,1400000US17031672000,Census Tract 6720,59.108213092396845
17031680600,1400000US17031680600,Census Tract 6806,0.20617349401795743
17031680900,1400000US17031680900,Census Tract 6809,20.098391043215603
17031681000,1400000US17031681000,Census Tract 6810,92.07202286176546
17031681100,1400000US17031681100,Census Tract 6811,100.0
17031681200,1400000US17031681200,Census Tract 6812,74.57006191118802
17031681300,1400000US17031681300,Census Tract 6813,93.4560329552118
17031681400,1400000US17031681400,Census Tract 6814,100.00000000000004
17031691200,1400000US17031691200,Census Tract 6912,2.3353418490913684
17031710100,1400000US17031710100,Census Tract 7101,39.224002571192
17031710200,1400000US17031710200,Census Tract 7102,99.8197275002941
17031710300,1400000US17031710300,Census Tract 7103,81.94176515082128
17031710400,1400000US17031710400,Census Tract 7104,19.539557936726194
17031710700,1400000US17031710700,Census Tract 7107,13.317422517490959
17031710800,1400000US17031710800,Census Tract 7108,10.867544689859695
17031834900,1400000US17031834900,Census Tract 8349,99.2482439055341
