GEOID,GEOIDFQ,NAMELSAD,pct_in_circle,total_pop_5plus,total_amb_diff,total_amb_diff_pct,pop_65plus,pop_65plus_amb_diff,pop_65plus_amb_diff_pct
17031670900,1400000US17031670900,Census Tract 6709,0.202896501873536,1091,134,12.28,318,80,25.16
17031671100,1400000US17031671100,Census Tract 6711,80.6380173597501,844,215,25.47,204,109,53.43
17031671200,1400000US17031671200,Census Tract 6712,40.77707886477275,628,72,11.46,128,66,51.56
17031671300,1400000US17031671300,Census Tract 6713,28.617597577451892,1509,302,20.01,332,175,52.71
17031671500,1400000US17031671500,Census Tract 6715,76.12767798484103,2333,416,17.83,451,201,44.57
17031671600,1400000US17031671600,Census Tract 6716,100.0,1632,116,7.11,273,89,32.6
17031671800,1400000US17031671800,Census Tract 6718,100.00000000000004,1024,93,9.08,118,18,15.25
17031671900,1400000US17031671900,Census Tract 6719,100.00000000000004,1034,164,15.86,132,49,37.12
17031672000,1400000US17031672000,Census Tract 6720,59.108213092396845,2816,391,13.88,425,164,38.59
17031680600,1400000US17031680600,Census Tract 6806,0.2061734940179574,928,113,12.18,139,94,67.63
17031680900,1400000US17031680900,Census Tract 6809,20.098391043215603,3104,697,22.45,728,456,62.64
17031681000,1400000US17031681000,Census Tract 6810,92.07202286176546,2524,434,17.19,424,136,32.08
17031681100,1400000US17031681100,Census Tract 6811,100.0,1956,202,10.33,416,84,20.19
17031681200,1400000US17031681200,Census Tract 6812,74.57006191118802,1946,360,18.5,441,97,22.0
17031681300,1400000US17031681300,Census Tract 6813,93.4560329552118,1988,404,20.32,292,158,54.11
17031681400,1400000US17031681400,Census Tract 6814,100.00000000000004,1719,277,16.11,440,189,42.95
17031691200,1400000US17031691200,Census Tract 6912,2.3353418490913684,1867,142,7.61,249,43,17.27
17031710100,1400000US17031710100,Census Tract 7101,39.224002571192,760,177,23.29,75,18,24.0
17031710200,1400000US17031710200,Census Tract 7102,99.8197275002941,3790,704,18.58,1124,556,49.47
17031710300,1400000US17031710300,Census Tract 7103,81.94176515082128,1086,162,14.92,220,65,29.55
17031710400,1400000US17031710400,Census Tract 7104,19.53955793672619,4884,658,13.47,1426,357,25.04
17031710700,1400000US17031710700,Census Tract 7107,13.31742251749096,3287,390,11.86,604,167,27.65
17031710800,1400000US17031710800,Census Tract 7108,10.867544689859695,4372,486,11.12,922,294,31.89
17031834900,1400000US17031834900,Census Tract 8349,99.2482439055341,1081,216,19.98,286,92,32.17
